"","participant","nLL","kernel","acq","R2","kError","lambda","beta","tau","alpha","d","k","omega","ModelName","meanScore"
"114",24,331.84019535814,"dNN","GM",0.645374663547546,NA,NA,NA,0.0672617259838377,NA,1,NA,0.19024413155138,"dNN-GM",71.9086794062494
"115",24,332.239195710371,"BMT","UCB",0.644948266636822,10.3971159245287,NA,0.00682870835000088,0.00677261025413064,NA,NA,NA,0.0130550209277319,"BMT-UCB",71.9086794062494
"116",25,481.980270498306,"DF","UCB",0.484925521441313,NA,NA,0.293465917570034,0.083423252459991,0.696091920478109,NA,NA,0.257740161470641,"DF-UCB",76.7841862711361
"117",25,479.525459868263,"BMT","UCB",0.48754888671708,4.00238313905668,NA,0.0598084991096733,0.0358995012079446,NA,NA,NA,0.0646503882449899,"BMT-UCB",76.7841862711361
"118",25,488.388174385334,"dNN","GM",0.478077631692937,NA,NA,NA,0.124157685310044,NA,1,NA,0.315982822462416,"dNN-GM",76.7841862711361
"119",25,481.310777869389,"kNN","GM",0.485640983438091,NA,NA,NA,0.125044522737891,NA,NA,1,0.315989687546947,"kNN-GM",76.7841862711361
"120",25,590.904622083938,"Sticky","GM",0.368522097837878,NA,NA,NA,0.557277254765684,NA,NA,NA,2.39823005618694,"Sticky-GM",76.7841862711361
"121",26,428.836105248433,"kNN","GM",0.541718724151073,NA,NA,NA,0.0765689319661867,NA,NA,7,0.1893766419522,"kNN-GM",79.0637568502967
"122",26,525.348033853846,"Sticky","GM",0.438579997643177,NA,NA,NA,0.108746088959136,NA,NA,NA,0.503786152689981,"Sticky-GM",79.0637568502967
"123",26,419.401921922749,"dNN","GM",0.551800686742777,NA,NA,NA,0.079551050363521,NA,2,NA,0.201964699886921,"dNN-GM",79.0637568502967
"124",26,444.941124931758,"DF","UCB",0.524507885609923,NA,NA,0.222153538443324,0.0596248701827174,0.620164599914018,NA,NA,0.193439626375448,"DF-UCB",79.0637568502967
"125",26,410.814183124203,"BMT","UCB",0.56097808539249,8.13483389192134,NA,0.0721454226795615,0.00694716342849992,NA,NA,NA,0.00683235722778608,"BMT-UCB",79.0637568502967
"126",27,357.670188636492,"dNN","GM",0.617771105615047,NA,NA,NA,0.0631978106014209,NA,1,NA,0.114134987824593,"dNN-GM",77.611180564222
"127",27,357.670150361544,"kNN","GM",0.617771146518067,NA,NA,NA,0.0631975293797011,NA,NA,1,0.114134633852862,"kNN-GM",77.611180564222
"128",27,357.308771384,"DF","UCB",0.618157338857907,NA,NA,0.0429010917720449,0.0614951008997585,1.45389365171375,NA,NA,0.109614112264243,"DF-UCB",77.611180564222
