"","participant","loo","nLL","tau","beta","lambda","errorVariance","alpha","d","k","gamma","omega","R2","acq","kernel","meanScore"
"3579",85,3,41.4989812417257,0.0883641476910828,0.33884955337533,NA,NA,0.662529923182424,NA,NA,NA,0.370239043914412,0.950108021300515,"UCB","DF",74.5192588160563
"3580",85,4,11.7824496722311,0.088556793546092,0.333630663554583,NA,NA,0.552244740232768,NA,NA,NA,0.373271300386473,0.985834598573624,"UCB","DF",74.5192588160563
"3581",85,5,84.5535446230966,0.0948300236625643,0.327143970667245,NA,NA,0.872105306490071,NA,NA,NA,0.382969045332191,0.898345850402229,"UCB","DF",74.5192588160563
"3582",85,6,54.9658997727768,0.0915467460809056,0.376846820425626,NA,NA,0.459396029766839,NA,NA,NA,0.446104118986149,0.933917474149846,"UCB","DF",74.5192588160563
"3583",85,7,61.736473150874,0.0899403948582092,0.31339979674542,NA,NA,0.464723242910967,NA,NA,NA,0.384145147445112,0.92577758028605,"UCB","DF",74.5192588160563
"3584",85,8,45.4986802269898,0.0876150402817009,0.339857966891347,NA,NA,0.474065966379375,NA,NA,NA,0.38823078187276,0.945299399724608,"UCB","DF",74.5192588160563
"3585",85,9,48.6022515727836,0.0892207917822856,0.310495460802245,NA,NA,0.468583097987087,NA,NA,NA,0.38519985082891,0.941568143899923,"UCB","DF",74.5192588160563
"3586",85,8,62.768919669632,9.30390915562591,NA,NA,NA,NA,NA,NA,NA,41.9336496468499,0.924536325725554,"GM","Sticky",74.5192588160563
"3587",85,1,188.362457919838,0.00675981560296178,0.161030279728786,NA,7.81367798137618,NA,NA,NA,NA,0.00784083999558169,0.773542013391161,"UCB","BMT",74.5192588160563
"3588",85,2,46.1389059385342,0.00678375256745492,0.0074198635100456,NA,10.150002274579,NA,NA,NA,NA,0.00735860503661993,0.944529691008695,"UCB","BMT",74.5192588160563
"3589",85,3,38.4142325534808,0.00684729324870073,0.00696065926925713,NA,10.6680512667158,NA,NA,NA,NA,0.00843266958046293,0.953816647662948,"UCB","BMT",74.5192588160563
"3590",85,4,9.64660908675749,0.00674335180736296,0.00692943502923528,NA,10.5677110877002,NA,NA,NA,NA,0.00749813325536617,0.98840240409095,"UCB","BMT",74.5192588160563
"3591",85,5,79.3723054744831,0.00691598738967957,0.00708243310691823,NA,10.6800381214849,NA,NA,NA,NA,0.00863564552125046,0.904574973756699,"UCB","BMT",74.5192588160563
"3592",85,6,50.6428782298078,0.00674941713430142,0.00717211769640157,NA,10.7001042962346,NA,NA,NA,NA,0.00878312852662077,0.939114808934594,"UCB","BMT",74.5192588160563
"3593",85,7,64.0294112327804,0.00674172523112512,0.00675073620835436,NA,10.2076711996193,NA,NA,NA,NA,0.00729816645099044,0.923020904952856,"UCB","BMT",74.5192588160563
"3594",85,8,46.7458417568387,0.00676452935405924,0.00729062333397371,NA,10.7519203870875,NA,NA,NA,NA,0.00814308776873847,0.943800004929357,"UCB","BMT",74.5192588160563
"3595",85,4,23.8214832814139,5.96844766652132,NA,NA,NA,NA,NA,NA,NA,25.805318234256,0.971360720169404,"GM","Sticky",74.5192588160563
"3596",85,5,100.382565839,2.47325639375295,NA,NA,NA,NA,NA,NA,NA,11.5633431116201,0.879315475060304,"GM","Sticky",74.5192588160563
"3597",85,6,67.3135556544968,0.0771129775130584,NA,NA,NA,NA,NA,NA,NA,0.349152840270144,0.919072555893878,"GM","Sticky",74.5192588160563
"3598",85,7,81.2141122764162,0.136095775324053,NA,NA,NA,NA,NA,NA,NA,0.624740437659357,0.902360669140512,"GM","Sticky",74.5192588160563
"3599",85,1,36.469186550859,0.135011377553294,NA,NA,NA,NA,1,NA,NA,0.369654235679051,0.956155071181518,"GM","dNN",74.5192588160563
